指标,数值
总数据包,421
总字节数,116229
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,328
UDP,64
DNS,27
Unknown,2

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-10-08 23:08:52.761,192.168.31.159,104.16.249.249,4855,443,TCP,372
2025-10-08 23:08:52.776,104.16.249.249,192.168.31.159,443,4855,TCP,60
2025-10-08 23:08:52.781,23.49.5.206,192.168.31.159,443,8781,TCP,66
2025-10-08 23:08:52.788,104.16.249.249,192.168.31.159,443,4861,TCP,66
2025-10-08 23:08:52.790,192.168.31.159,104.16.249.249,4861,443,TCP,54
2025-10-08 23:08:52.791,192.168.31.159,104.16.249.249,4861,443,TCP,372
2025-10-08 23:08:52.802,104.16.249.249,192.168.31.159,443,4861,TCP,60
2025-10-08 23:08:52.807,8.8.8.8,192.168.31.159,53,60299,DNS,232
2025-10-08 23:08:52.812,8.8.8.8,192.168.31.159,53,60298,DNS,206
2025-10-08 23:08:52.876,192.168.31.159,46.232.56.131,1341,443,TCP,55
2025-10-08 23:08:52.909,104.16.249.249,192.168.31.159,443,4855,TCP,60
2025-10-08 23:08:52.911,104.16.249.249,192.168.31.159,443,4855,TCP,1490
2025-10-08 23:08:52.911,104.16.249.249,192.168.31.159,443,4855,TCP,1490
2025-10-08 23:08:52.927,192.168.31.159,223.5.5.5,55796,53,DNS,74
2025-10-08 23:08:52.930,223.5.5.5,192.168.31.159,53,55796,DNS,252
2025-10-08 23:08:52.957,104.16.249.249,192.168.31.159,443,4861,TCP,60
2025-10-08 23:08:52.973,46.232.56.131,192.168.31.159,443,1341,TCP,66
2025-10-08 23:08:53.084,192.168.31.159,224.0.0.251,61127,5353,DNS,81
2025-10-08 23:08:53.100,192.168.31.159,223.5.5.5,2999,443,TCP,55
2025-10-08 23:08:53.103,223.5.5.5,192.168.31.159,443,2999,TCP,60
2025-10-08 23:08:53.282,192.168.31.159,192.168.31.255,137,137,UDP,92
2025-10-08 23:08:53.285,192.168.31.159,113.240.75.249,4868,443,TCP,66
2025-10-08 23:08:53.307,113.240.75.249,192.168.31.159,443,4868,TCP,66
2025-10-08 23:08:53.308,192.168.31.159,113.240.75.249,4868,443,TCP,54
2025-10-08 23:08:53.309,192.168.31.159,113.240.75.249,4868,443,TCP,571
2025-10-08 23:08:53.331,113.240.75.249,192.168.31.159,443,4868,TCP,60
2025-10-08 23:08:53.331,113.240.75.249,192.168.31.159,443,4868,TCP,195
2025-10-08 23:08:53.333,192.168.31.159,113.240.75.249,4868,443,TCP,1427
2025-10-08 23:08:53.353,113.240.75.249,192.168.31.159,443,4868,TCP,60
2025-10-08 23:08:53.390,113.240.75.249,192.168.31.159,443,4868,TCP,279
2025-10-08 23:08:53.430,192.168.31.159,113.240.75.249,4868,443,TCP,54
2025-10-08 23:08:53.607,192.168.31.159,46.232.56.131,4850,443,TCP,66
2025-10-08 23:08:53.612,192.168.31.159,8.8.4.4,4853,443,TCP,66
2025-10-08 23:08:53.612,192.168.31.159,104.16.248.249,4856,443,TCP,66
2025-10-08 23:08:53.613,192.168.31.159,8.8.8.8,4851,443,TCP,66
2025-10-08 23:08:53.619,192.168.31.159,8.8.4.4,4865,443,TCP,66
2025-10-08 23:08:53.619,192.168.31.159,8.8.8.8,4866,443,TCP,66
2025-10-08 23:08:53.620,192.168.31.159,104.16.248.249,4863,443,TCP,66
2025-10-08 23:08:53.680,192.168.31.159,46.232.56.131,1387,443,TCP,153
2025-10-08 23:08:53.680,192.168.31.159,46.232.56.131,1387,443,TCP,1490
2025-10-08 23:08:53.681,192.168.31.159,46.232.56.131,1387,443,TCP,555
2025-10-08 23:08:53.708,46.232.56.131,192.168.31.159,443,4850,TCP,66
2025-10-08 23:08:53.708,192.168.31.159,46.232.56.131,4850,443,TCP,54
2025-10-08 23:08:53.709,192.168.31.159,46.232.56.131,4850,443,TCP,570
2025-10-08 23:08:53.783,46.232.56.131,192.168.31.159,443,1387,TCP,60
2025-10-08 23:08:53.783,46.232.56.131,192.168.31.159,443,1387,TCP,60
2025-10-08 23:08:53.787,192.168.31.159,23.49.5.206,8781,443,TCP,55
2025-10-08 23:08:53.787,46.232.56.131,192.168.31.159,443,1387,TCP,93
2025-10-08 23:08:53.811,46.232.56.131,192.168.31.159,443,4850,TCP,60
2025-10-08 23:08:53.823,192.168.31.159,46.232.56.131,1387,443,TCP,54
2025-10-08 23:08:53.899,180.110.193.149,192.168.31.159,8080,8589,TCP,557
2025-10-08 23:08:53.938,192.168.31.159,180.110.193.149,8589,8080,TCP,54
2025-10-08 23:08:53.938,46.232.56.131,192.168.31.159,443,1387,TCP,333
2025-10-08 23:08:53.978,192.168.31.159,46.232.56.131,1387,443,TCP,54
2025-10-08 23:08:54.002,23.49.5.206,192.168.31.159,443,8781,TCP,66
2025-10-08 23:08:54.074,117.85.69.232,192.168.31.159,443,8624,TCP,60
2025-10-08 23:08:54.395,192.168.31.159,113.240.75.249,4868,443,TCP,55
2025-10-08 23:08:54.415,113.240.75.249,192.168.31.159,443,4868,TCP,66
2025-10-08 23:08:55.002,192.168.31.159,23.49.5.206,8781,443,TCP,55
2025-10-08 23:08:55.221,23.49.5.206,192.168.31.159,443,8781,TCP,66
2025-10-08 23:08:55.309,192.168.31.159,46.232.56.131,4797,443,TCP,55
2025-10-08 23:08:55.402,46.232.56.131,192.168.31.159,443,4797,TCP,66
2025-10-08 23:08:55.413,192.168.31.159,113.240.75.249,4868,443,TCP,55
2025-10-08 23:08:55.435,113.240.75.249,192.168.31.159,443,4868,TCP,66
2025-10-08 23:08:55.446,192.168.31.159,108.181.4.223,52873,38762,UDP,67
2025-10-08 23:08:55.613,192.168.31.159,104.16.248.249,4856,443,TCP,66
2025-10-08 23:08:55.614,192.168.31.159,8.8.4.4,4853,443,TCP,66
2025-10-08 23:08:55.615,192.168.31.159,8.8.8.8,4851,443,TCP,66
2025-10-08 23:08:55.616,108.181.4.223,192.168.31.159,38762,52873,UDP,74
2025-10-08 23:08:55.619,192.168.31.159,104.16.248.249,4863,443,TCP,66
2025-10-08 23:08:55.619,192.168.31.159,8.8.4.4,4865,443,TCP,66
2025-10-08 23:08:55.620,192.168.31.159,8.8.8.8,4866,443,TCP,66
